state, district, state_name, party, representative, obama_raw, romney_raw, other_raw, romney_percentage, obama_percentage, romney_percentage, other_percentage
Arizona,2,Arizona,D,Ron Barber,144966,149651,5074,48.37,49.94,1.69,
Arizona,3,Arizona,D,Ra?l M. Grijalva,108902,65482,2864,61.44,36.94,1.62,
California,1,California,R,Doug LaMalfa,122379,171902,9647,40.27,56.56,3.17,
California,2,California,D,Jared Huffman,230212,89908,13322,69.04,26.96,4,
California,5,California,D,Mike Thompson,199924,78703,8031,69.74,27.46,2.8,
California,8,California,R,Paul Cook,88579,118278,5776,41.66,55.63,2.72,
California,6,California,D,Doris O. Matsui,156141,63862,5828,69.14,28.28,2.58,
California,9,California,D,Jerry McNerney,127418,88403,4491,57.84,40.13,2.04,
California,12,California,D,Nancy Pelosi,269461,40003,10923,84.1,12.49,3.41,
California,14,California,D,Jackie Speier,200343,63589,5950,74.23,23.56,2.2,
California,18,California,D,Anna G. Eshoo,218082,92457,9076,68.23,28.93,2.84,
California,13,California,D,Barbara Lee,268093,27474,10747,87.52,8.97,3.51,
California,15,California,D,Eric Swalwell,177243,77748,5620,68.01,29.83,2.16,
California,17,California,D,Michael M. Honda,163862,58193,5751,71.93,25.54,2.52,
California,11,California,D,George Miller,203699,90226,7209,67.64,29.96,2.39,
California,10,California,R,Jeff Denham,108923,101160,5030,50.64,47.03,2.34,
California,16,California,D,Jim Costa,88973,59808,3172,58.55,39.36,2.09,
California,20,California,D,Sam Farr,168956,62427,6958,70.89,26.19,2.92,
California,19,California,D,Zoe Lofgren,165530,61643,5269,71.21,26.52,2.27,
California,24,California,D,Lois Capps,158119,126049,8238,54.08,43.11,2.82,
California,22,California,R,Devin Nunes,92005,125213,4060,41.58,56.59,1.83,
California,23,California,R,Kevin McCarthy,82119,139816,5362,36.13,61.51,2.36,
California,26,California,D,Julia Brownley,147753,119677,6217,53.99,43.73,2.27,
California,30,California,D,Brad Sherman,186301,91680,7245,65.32,32.14,2.54,
California,29,California,D,Tony C?rdenas,129323,34454,4112,77.03,20.52,2.45,
California,27,California,D,Judy Chu,161528,90278,6164,62.62,35,2.39,
California,31,California,R,Gary G. Miller,118043,83822,4377,57.24,40.64,2.12,
California,28,California,D,Adam B. Schiff,187441,70757,8430,70.3,26.54,3.16,
California,25,California,R,Howard P. ?Buck? McKeon,120701,125258,6290,47.85,49.66,2.49,
California,44,California,D,Janice Hahn,155459,24995,3132,84.68,13.61,1.71,
California,47,California,D,Alan S. Lowenthal,147456,92010,6158,60.03,37.46,2.51,
California,33,California,D,Henry A. Waxman,210010,127421,9073,60.61,36.77,2.62,
California,34,California,D,Xavier Becerra,127510,21739,4450,82.96,14.14,2.9,
California,37,California,D,Karen Bass,222329,33307,6222,84.9,12.72,2.38,
California,43,California,D,Maxine Waters,173342,44485,4392,78.01,20.02,1.98,
California,35,California,D,Gloria Negrete McLeod,108983,49433,3316,67.38,30.56,2.05,
California,39,California,R,Edward R. Royce,124108,133742,5680,47.09,50.75,2.16,
California,32,California,D,Grace F. Napolitano,133061,66269,4839,65.17,32.46,2.37,
California,38,California,D,Linda T. S?nchez,149141,75780,4954,64.88,32.97,2.16,
California,40,California,D,Lucille Roybal-Allard,115637,23446,2835,81.48,16.52,2,
California,36,California,D,Raul Ruiz,107914,101156,3869,50.68,47.5,1.82,
California,42,California,R,Ken Calvert,96212,131438,4870,41.38,56.53,2.09,
California,51,California,D,Juan Vargas,115610,48108,2966,69.36,28.86,1.78,
California,41,California,D,Mark Takano,114040,67314,4075,61.5,36.3,2.2,
California,50,California,R,Duncan Hunter,102649,165104,5536,37.56,60.41,2.03,
California,46,California,D,Loretta Sanchez,95479,56252,3762,61.4,36.18,2.42,
California,48,California,R,Dana Rohrabacher,133103,169249,7144,43.01,54.69,2.31,
California,49,California,R,Darrell E. Issa,134447,153856,6165,45.66,52.25,2.09,
California,52,California,D,Scott H. Peters,163911,143726,7111,52.08,45.66,2.26,
California,53,California,D,Susan A. Davis,174616,103513,6204,61.41,36.41,2.18,
California,45,California,R,John Campbell,133114,169489,6796,43.02,54.78,2.2,
California,21,California,R,David G. Valadao,65146,51917,2169,54.64,43.54,1.82,
California,4,California,R,Tom McClintock,133473,195388,8775,39.53,57.87,2.6,
California,3,California,D,John Garamendi,131237,104145,6305,54.3,43.09,2.61,
Colorado,3,Colorado,R,Scott R. Tipton,163885,185459,8699,45.77,51.8,2.43,
Colorado,4,Colorado,R,Cory Gardner,140735,209350,8134,39.29,58.44,2.27,
Colorado,5,Colorado,R,Doug Lamborn,129903,200491,8749,38.3,59.12,2.58,
Colorado,7,Colorado,D,Ed Perlmutter,195690,144919,9298,55.93,41.42,2.66,
Colorado,6,Colorado,R,Mike Coffman,183279,164595,6880,51.66,46.4,1.94,
